DMS_id,Spearman,AUC,MCC,NDCG,AP,TopHit@10,BottomHit@10,TopHit@20,BottomHit@20,TopHit@50,BottomHit@50,TopHit@100,BottomHit@100,UnbiasHit@10,UnbiasHit@20,UnbiasHit@50,UnbiasHit@100
4D5_HER2_fitness_1N8Z,0.3153862077049826,0.7945482001972387,0.358974358974359,0.8508754277200226,0.37338204253884033,0.7,0.0,0.7,0.0,0.56,0.0,0.52,0.0,0.7,0.7,0.56,0.52
5A12_Ang2_fitness_4ZFG,0.11711410149257538,0.6262351993056848,0.087074576901618,0.5719563081531814,0.14975480757043763,0.0,0.1,0.05,0.05,0.16,0.08,0.1702127659574468,0.07446808510638298,-0.1,0.0,0.08,0.09574468085106383
5A12_VEGF_fitness_4ZFF,0.477522778613376,0.6632143265372048,0.03563575349446521,0.6794500749707346,0.1425566889592768,0.1,0.0,0.05,0.0,0.1,0.0,0.09,0.0,0.1,0.05,0.1,0.09
Z-domain_ZpA963_HL1_fitness_2M5A,0.13557586038798092,0.6400432413665219,0.08722840989343528,0.59870836436207,0.16224378471450104,0.4,0.0,0.35,0.05,0.28,0.1,0.18,0.14,0.4,0.3,0.18000000000000002,0.03999999999999998
Z-domain_ZpA963_HL2_fitness_2M5A,0.33748511349990185,0.696141975308642,0.16666666666666666,0.7257152181206296,0.2233799619747303,0.3,0.0,0.4,0.0,0.26,0.0,0.25,0.0,0.3,0.4,0.26,0.25
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.30655924053349765,0.6626562095688073,0.07223652217924151,0.6823803312831775,0.14792217021563803,0.2,0.0,0.1,0.05,0.1,0.02,0.07,0.02,0.2,0.05,0.08,0.05
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.325765962731702,0.7627052046420474,0.19090298588243337,0.7535111356418146,0.23526599861699513,0.3,0.0,0.45,0.0,0.36,0.0,0.29,0.0,0.3,0.45,0.36,0.29
CXCR4_CXCL12_enrich_8U4O,0.20300376581500842,0.5587745156314179,0.031905291055384984,0.6280766498064692,0.11898860746568113,0.1,0.0,0.1,0.0,0.06,0.02,0.1,0.03,0.1,0.1,0.039999999999999994,0.07
hYAP65_peptide_FunctioncalScore_1JMQ,0.11530270327309043,0.5810967608833181,0.014406679571116878,0.5231101407089681,0.11542438146261011,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.11,0.0,0.0,-0.08,-0.09
GB1_IgG-Fc_fitness_1FCC,0.49495771050024406,0.7032281164839875,0.11974842435150233,0.7181003304280055,0.17778315612300805,0.2,0.0,0.2,0.0,0.2,0.0,0.19,0.01,0.2,0.2,0.2,0.18
GB1_IgG-Fc_fitness_1FCC_2016,0.4716689867469528,0.7323095249347344,0.1864379579443251,0.8269183841125254,0.22160847942208334,0.1,0.0,0.2,0.0,0.26,0.0,0.37,0.0,0.1,0.2,0.26,0.37
SARS2-RBD_ACE2_deltaKd_6M0J,0.6959936289832883,0.8864120169054981,0.41699844749974646,0.8615891251914249,0.44232097299046513,0.6,0.0,0.5,0.0,0.5,0.0,0.56,0.0,0.6,0.5,0.5,0.56
KRAS_DARPinK27_norfitness_5O2S,0.4039924199940748,0.6651185497863338,0.09185511604493661,0.6958001958657563,0.16216432380796544,0.4,0.0,0.25,0.0,0.32,0.0,0.25,0.0,0.4,0.25,0.32,0.25
KRAS_PICK3CG-RBD_norfitness_1HE8,0.46856681381712495,0.7125414345769092,0.20813496977383647,0.7871477563825711,0.24554610815349723,0.9,0.0,0.75,0.0,0.66,0.0,0.51,0.01,0.9,0.75,0.66,0.5
