DMS_id,n,Spearman,AUC,MCC,NDCG,AP
4D5_HER2_fitness_1N8Z,2080,0.3703213507371692,0.8603021244247206,0.4337606837606838,0.911916980320316,0.4041526391893892
5A12_Ang2_fitness_4ZFG,944,0.11910943831367544,0.6212510073770999,0.0987787489926229,0.6451382507047789,0.16238502073824723
5A12_VEGF_fitness_4ZFF,29981,0.4293680106458776,0.6378774087740877,0.024117569621240603,0.6700058635217839,0.13282163809783173
ACE2_SARS2-RBD_enrich_6M17,2186,0.30199489179631334,0.5232059576621562,-0.009845092426869836,0.6248040321394346,0.10532606039640938
BH3_Bcl-xL_normed_1PQ1,518,0.615939223367584,0.8296054803565533,0.27319247276328823,0.8587407687440143,0.38112160909549714
BH3_Mcl-1_normed_3KZ0,518,0.7111763976848223,0.9433393859359525,0.5297127764938924,0.9186795787947463,0.6687948846078202
CD19_FMC63_Fitness_7URV,3886,0.4002309646414885,0.6930084880616743,0.19277252420372723,0.7483459889530749,0.19069936771251425
CXCR4_CXCL12_enrich_8U4O,5585,0.1938913630003295,0.5559747630745882,0.05973552909486057,0.6443316516287246,0.12411177104866795
GB1_IgG-Fc_fitness_1FCC,92891,0.5157889609113201,0.6947915212559359,0.1027630019106698,0.7039735100407802,0.16872211799555364
GB1_IgG-Fc_fitness_1FCC_2016,22176,0.48110592089427956,0.7205707843098099,0.2114860503721476,0.8675242983656568,0.24630208826756347
HLA-A2_TAPBPR_meanscore_5WER,3344,0.3624184334073237,0.6086139591176718,0.07112493365674122,0.6797068618531505,0.13838483483384656
KRAS_DARPinK27_norfitness_5O2S,19533,0.3907371311258098,0.6497599984814858,0.07877601001427507,0.6985359532095634,0.15059789923393557
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,-0.013558104429587983,0.5009509552807485,0.03193648688483601,0.550641664110799,0.10083872951415396
KRAS_RAF1-RBD_norfitness_6VJJ,23162,0.3693388458329398,0.6568036496023167,0.06964251939500846,0.6992033711673478,0.15172048753860767
KRAS_RAF1_norfitness_6VJJ,12677,0.46805502441914526,0.6922081687128956,0.12896412788287956,0.7692629342656342,0.18471073226588577
KRAS_RALGDS-RBD_norfitness_1LFD,20341,0.45989334980422775,0.696190919228096,0.18879499161547084,0.7837430840266024,0.22253330275171976
KRAS_SOS1_norfitness_8BE4,19425,,0.5,0.0,0.5235496974007597,0.10002574002574002
PSD95_CRIPT_1BE9,1577,0.4429122555777748,0.5819439612492305,0.022296857298329184,0.6769226906280595,0.13308398829295429
PSD95_Tm2F_1BE9,1577,0.21492159812547793,0.4702768039535776,0.008229186180319533,0.5824481275388971,0.09654010849312825
SARS2-RBD_ACE2_deltaKd_6M0J,21872,0.7433075026453946,0.903101383021762,0.49774517820317876,0.9036973654115631,0.5281453191520808
Z-domain_ZpA963_HL1_fitness_2M5A,2904,0.41143383047414683,0.8153180699726321,0.31637608941809586,0.8678670348712229,0.39606819725024883
Z-domain_ZpA963_HL2_fitness_2M5A,600,0.44305454856970583,0.7413271604938272,0.2777777777777778,0.8007376382379173,0.319450650927319
hYAP65_peptide_FunctioncalScore_1JMQ,18407,0.11021483981019166,0.5581299479054467,-0.018184893792728613,0.4889461045315313,0.10579666782055144
