DMS_id,pdb,n_chains,entity1,entity2,provenance,contact_chosen,contact_next_best
4D5_HER2_fitness_1N8Z,1N8Z_hm.pdb,3,AB,C,curated + structural agree,39,110.0
5A12_Ang2_fitness_4ZFG,4ZFG.pdb,3,HL,A,curated + structural agree,36,106.0
5A12_VEGF_fitness_4ZFF,4ZFF_CHL.pdb,3,HL,C,curated + structural agree,22,98.0
Z-domain_ZpA963_HL1_fitness_2M5A,2M5A.pdb,2,A,B,forced (2 chains),37,
Z-domain_ZpA963_HL2_fitness_2M5A,2M5A.pdb,2,A,B,forced (2 chains),37,
Z-domain_ZSPA-1_LL1_fitness_1LP1,1LP1.pdb,2,A,B,forced (2 chains),36,
Z-domain_ZSPA-1_LL2_fitness_1LP1,1LP1.pdb,2,A,B,forced (2 chains),36,
CXCR4_CXCL12_enrich_8U4O,8U4O_hm.pdb,2,J,R,forced (2 chains),61,
hYAP65_peptide_FunctioncalScore_1JMQ,1JMQ_hm.pdb,2,A,P,forced (2 chains),19,
GB1_IgG-Fc_fitness_1FCC,1FCC_hm.pdb,2,A,C,forced (2 chains),36,
GB1_IgG-Fc_fitness_1FCC_2016,1FCC2016_hm.pdb,2,A,C,forced (2 chains),36,
SARS2-RBD_ACE2_deltaKd_6M0J,6M0J.pdb,2,A,E,forced (2 chains),43,
KRAS_DARPinK27_norfitness_5O2S,5O2S_hm.pdb,2,A,B,forced (2 chains),52,
KRAS_PICK3CG-RBD_norfitness_1HE8,1HE8_hm.pdb,2,A,B,forced (2 chains),35,
KRAS_RAF1_norfitness_6VJJ,6VJJ.pdb,2,A,B,forced (2 chains),31,
KRAS_RAF1-RBD_norfitness_6VJJ,6VJJ.pdb,2,A,B,forced (2 chains),31,
KRAS_RALGDS-RBD_norfitness_1LFD,1LFD_hm.pdb,2,A,B,forced (2 chains),28,
KRAS_SOS1_norfitness_8BE4,8BE4_hm.pdb,2,R,S,forced (2 chains),84,
BH3_Mcl-1_normed_3KZ0,3KZ0_hm.pdb,2,A,C,forced (2 chains),51,
BH3_Bcl-xL_normed_1PQ1,1PQ1_hm.pdb,2,A,B,forced (2 chains),49,
HLA-A2_TAPBPR_meanscore_5WER,5WER_hm.pdb,2,A,C,forced (2 chains),72,
PSD95_CRIPT_1BE9,1BE9_hm.pdb,2,A,B,forced (2 chains),20,
PSD95_Tm2F_1BE9,1BE9Tm2F_hm.pdb,2,A,B,forced (2 chains),21,
ACE2_SARS2-RBD_enrich_6M17,6M17_BE.pdb,2,B,E,forced (2 chains),43,
CD19_FMC63_Fitness_7URV,7URV_hm.pdb,2,C,D,forced (2 chains),41,
