DMS_id,n_iface,n_noniface,median_iface,median_noniface,cliffs_delta,p_mwu,n_strata,cliffs_delta_depthstrat,testable,q_BH
CD19_FMC63_Fitness_7URV,136,3749,-1.8825107740317546,6.559211106801959,-0.7004299185665197,6.660457564949359e-44,1,-0.309260141303485,True,9.687938276289977e-44
PSD95_CRIPT_1BE9,285,1291,-0.26569,0.006233,-0.5725549349749277,7.851571916842708e-52,1,-0.5725549349749277,True,1.2562515066948333e-51
ACE2_SARS2-RBD_enrich_6M17,380,1805,-1.4329153158749999,0.2067646857499999,-0.553961218836565,8.806811053874974e-65,1,-0.553961218836565,True,1.565655298466662e-64
KRAS_RALGDS-RBD_norfitness_1LFD,5534,14806,-0.939013254850595,-0.267728113617154,-0.46695938718521257,0.0,2,-0.44103390663704545,True,0.0
4D5_HER2_fitness_1N8Z,2076,3,-0.901322566277706,-0.8651103936232616,-0.3774887604367373,0.25805015698901734,0,,False,
SARS2-RBD_ACE2_deltaKd_6M0J,6763,15108,-2.38,-0.89,-0.3394829248729958,0.0,7,-0.22778378199935387,True,0.0
KRAS_RAF1_norfitness_6VJJ,4939,7737,-1.19423170783078,-0.818701717405963,-0.31653689553067,4.686085627411543e-199,2,-0.29489406995988443,True,1.2496228339764114e-198
KRAS_RAF1-RBD_norfitness_6VJJ,5953,17208,-0.776523018428529,-0.26629363621679447,-0.31215639626477454,3.999285632524982e-283,2,-0.28528554590161814,True,1.5997142530099928e-282
KRAS_DARPinK27_norfitness_5O2S,8974,10558,-0.871228001455842,-0.4769890078620975,-0.2535968023301345,1.5776949475538315e-205,2,-0.20807230065834503,True,5.048623832172261e-205
PSD95_Tm2F_1BE9,304,1272,-0.402225,-0.07711599999999995,-0.2535325637206223,6.14295805210839e-12,1,-0.2535325637206223,True,7.0205234881238736e-12
GB1_IgG-Fc_fitness_1FCC,58502,34388,-0.6432723285807969,0.15874425043765455,-0.2323467673173264,0.0,2,-0.23264473486045217,True,0.0
KRAS_SOS1_norfitness_8BE4,9949,9475,-0.854731610435383,-0.484094308321556,-0.217296698651248,1.6230634696296054e-151,2,-0.17059976330580245,True,3.709859359153384e-151
HLA-A2_TAPBPR_meanscore_5WER,412,2932,-0.256968345,0.224631036,-0.21521311540550203,1.403545767318092e-12,1,-0.21521311540550206,True,1.7274409443914978e-12
KRAS_PICK3CG-RBD_norfitness_1HE8,3903,15299,-0.933062863118038,-0.45993269975658,-0.20432486959027685,1.0882893063272266e-86,2,-0.18808544802169225,True,2.1765786126544533e-86
CXCR4_CXCL12_enrich_8U4O,703,4881,-0.879248213,-0.389559785,-0.19286092937954613,1.2327427726133405e-16,1,-0.19286092937954613,True,1.6436570301511208e-16
5A12_Ang2_fitness_4ZFG,819,124,-0.0911940113427363,-0.07967235508663911,-0.03617708456418134,0.5158506610126137,4,0.12749687270921573,True,0.5158506610126137
hYAP65_peptide_FunctioncalScore_1JMQ,9692,8714,1.3432317508950198,1.3709485280342308,-0.03009209945883362,0.00041468755687222814,5,-0.19565857156068978,True,0.0004423333939970433
5A12_VEGF_fitness_4ZFF,0,29980,,0.7102661576945364,,,0,,False,
BH3_Bcl-xL_normed_1PQ1,517,0,-0.906705957048281,,,,0,,False,
BH3_Mcl-1_normed_3KZ0,517,0,-0.858114116648834,,,,0,,False,
GB1_IgG-Fc_fitness_1FCC_2016,22175,0,-1.3455125155364605,,,,0,,False,
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,0,-1.0945820802483324,,,,0,,False,
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,0,-1.2362876582088689,,,,0,,False,
Z-domain_ZpA963_HL1_fitness_2M5A,2903,0,-0.5916066541769696,,,,0,,False,
Z-domain_ZpA963_HL2_fitness_2M5A,599,0,0.2446265884570682,,,,0,,False,
