DMS_id,n,n_bins,min_bin_n,usable,excluded_for_ttt,d_min,d_max,n_unique_d,rho_bin_dms,rho_bin_mpnn,eta2_bin_dms,eta2_bin_mpnn,mono_dms,mono_mpnn,steps_down_dms,n_steps,steps_down_mpnn,rho_d_dms_far,p_d_dms_far,n_far,rho_d_dms_near,p_d_dms_near,n_near
5A12_Ang2_fitness_4ZFG,943,2,141,False,False,3.2512405324737217,11.458352848468234,9,,,,,,,,,,,,,,,
ACE2_SARS2-RBD_enrich_6M17,2185,5,437,True,False,2.557047320641531,40.12473085267985,109,-0.39910849940416854,-0.28254438930068454,0.131685022017638,0.08561964501665187,0.0,0.0,3.0,4.0,3.0,0.2501289103053575,3.778896500416356e-27,1805.0,0.012231407608875054,0.8121468209528558,380.0
CD19_FMC63_Fitness_7URV,3885,4,477,True,False,2.6130015308070726,47.09319736437527,212,-0.04454826690500466,-0.11511414190377421,0.36422305122736265,0.351823252128893,0.0,0.0,1.0,3.0,2.0,-0.12418696535088805,2.3316853831792625e-14,3749.0,-0.07999526267362458,0.3545650720426742,136.0
CXCR4_CXCL12_enrich_8U4O,5584,5,1113,True,False,2.5153586225427187,44.948232557020525,291,-0.15805024458730207,-0.07558233300524536,0.028344271950655697,0.05568252830150633,0.0,0.0,2.0,4.0,2.0,0.130412935901042,5.80256386187089e-20,4881.0,0.15545235366133986,3.480000869782873e-05,703.0
GB1_IgG-Fc_fitness_1FCC,92890,5,17346,True,False,2.6705312205626797,14.309018519800722,53,-0.2006702835926345,0.039872980126493394,0.0995279953230116,0.021259160988325365,0.0,0.0,2.0,4.0,3.0,-0.09225784662744117,6.939230475259911e-66,34388.0,0.1074570657813048,8.910869107121669e-150,58502.0
HLA-A2_TAPBPR_meanscore_5WER,3344,5,656,True,False,2.5864402177510297,30.494032301419235,176,-0.1856869118644219,-0.12258322284922389,0.04240606872645247,0.032024096927966705,0.0,0.0,3.0,4.0,3.0,0.15243227134617232,1.0506693129931651e-16,2932.0,-0.26381839182559846,5.472058382983625e-08,412.0
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,5,3557,True,False,2.7195802985019597,32.07123971722951,158,-0.2736399871888337,0.12137205916758102,0.0858565782405869,0.023362667804904036,1.0,0.0,4.0,4.0,1.0,0.30283889123332813,0.0,15299.0,0.0906361835579144,1.409190567908957e-08,3903.0
KRAS_RAF1-RBD_norfitness_6VJJ,23161,5,4549,True,False,2.619551297455349,32.30726611770176,161,-0.336882715824816,0.12004966480342692,0.129281059342652,0.03645201392517572,1.0,0.0,4.0,4.0,2.0,0.27806412309941037,4.739276064658401e-303,17208.0,0.4735182424569019,0.0,5953.0
KRAS_RAF1_norfitness_6VJJ,12676,5,2225,True,False,2.619551297455349,19.73517129391078,63,-0.31367046362080037,0.03901156638877708,0.1087221534176328,0.03894905485067779,0.0,0.0,3.0,4.0,1.0,0.19841680100306905,1.570370461814736e-69,7737.0,0.4093107258034288,7.341401221890528e-199,4939.0
KRAS_RALGDS-RBD_norfitness_1LFD,20340,5,3962,True,False,2.6935949955403387,32.491492717325244,159,-0.3579283996809659,-0.020279099697297322,0.13017537039509675,0.02208195286286485,1.0,0.0,4.0,4.0,2.0,0.2304318185871022,1.1501267496535212e-177,14806.0,-0.09891187731785481,1.6488032492376134e-13,5534.0
PSD95_CRIPT_1BE9,1576,5,304,True,False,2.7126512861036884,18.358973936470417,80,-0.46987407995451075,-0.0887041198744059,0.21360942630975188,0.01865476565041002,1.0,0.0,4.0,4.0,2.0,0.35163365541272557,7.164712265403699e-39,1291.0,0.05334402181662925,0.3695951538386443,285.0
PSD95_Tm2F_1BE9,1576,5,304,True,False,2.70537575948332,18.36226813332166,80,-0.2122190961782925,-0.06033897940256786,0.0713183745195114,0.004210622339061665,0.0,0.0,3.0,4.0,3.0,0.11306740325161603,5.3096094543593794e-05,1272.0,0.1841522649533634,0.0012588315515696259,304.0
SARS2-RBD_ACE2_deltaKd_6M0J,21871,5,4142,True,False,2.5253387891528574,42.275717510173614,190,-0.40120676457066695,-0.2608833248149479,0.15031293439121174,0.09737452366459542,0.0,0.0,3.0,4.0,3.0,0.3843011798551017,0.0,15108.0,0.08239174413618078,1.1530519610947182e-11,6763.0
hYAP65_peptide_FunctioncalScore_1JMQ,18406,5,1984,True,False,2.7492968191885,21.89288841153675,34,-0.03001067900804988,0.0575521152813578,0.028448642408989255,0.008250623592502726,0.0,0.0,2.0,4.0,2.0,-0.22380698484743752,2.3265511631028037e-99,8714.0,-0.004415873446637214,0.6637948909742081,9692.0
