DMS_id,fold,n,our_S,our_AUC,off_S,off_AUC
4D5_HER2_fitness_1N8Z,3,2080,0.32407196536047805,0.8073212011012492,0.3153862077049826,0.7945482001972387
5A12_Ang2_fitness_4ZFG,4,944,0.11610423386695859,0.6329427809807204,0.1171141014925753,0.6262351993056848
5A12_VEGF_fitness_4ZFF,4,29981,0.44134664250502664,0.6577519040341919,0.477522778613376,0.6632143265372048
ACE2_SARS2-RBD_enrich_6M17,2,2186,0.26448228560883646,0.5053102213927056,0.265142017276136,0.500677851211659
BH3_Bcl-xL_normed_1PQ1,1,518,0.6707686353141888,0.855088312974579,0.6554169420975472,0.8682733575437438
BH3_Mcl-1_normed_3KZ0,4,518,0.6465379983357378,0.9411934631891714,0.6625111983616473,0.9250165070980524
CD19_FMC63_Fitness_7URV,3,3886,0.5920356904016352,0.6610249325111108,0.6218993331968249,0.6855485788955411
CXCR4_CXCL12_enrich_8U4O,2,5585,0.19854307438810892,0.5570648014937709,0.2030037658150084,0.5587745156314179
GB1_IgG-Fc_fitness_1FCC,3,92891,0.5434914889872076,0.7179374046872538,0.494957710500244,0.7032281164839875
GB1_IgG-Fc_fitness_1FCC_2016,3,22176,0.4222339602078053,0.7236972891042334,0.4716689867469528,0.7323095249347344
HLA-A2_TAPBPR_meanscore_5WER,4,3344,0.4092747276112351,0.6505166093758525,0.4069023493652398,0.6542858985233354
KRAS_DARPinK27_norfitness_5O2S,0,19533,0.3659537269061432,0.6351430329165318,0.4039924199940748,0.6651185497863338
KRAS_PICK3CG-RBD_norfitness_1HE8,0,19203,0.5186900300141354,0.7415445690951596,0.4685668138171249,0.7125414345769092
KRAS_RAF1-RBD_norfitness_6VJJ,0,23162,0.45343833028004665,0.7007683258876971,0.4919587301647055,0.7103652304299579
KRAS_RAF1_norfitness_6VJJ,0,12677,0.4271441633676846,0.715579121082393,0.474268091460624,0.7183396153847217
KRAS_RALGDS-RBD_norfitness_1LFD,0,20341,0.5652000695501915,0.745559940507736,0.5739693891385305,0.7289166192534312
KRAS_SOS1_norfitness_8BE4,0,19425,0.30398685176487783,0.6690629014312082,0.3091962098527775,0.6702664332986747
PSD95_CRIPT_1BE9,2,1577,0.34673111653069344,0.5284899331852526,0.3862723195276673,0.547519647460772
PSD95_Tm2F_1BE9,2,1577,0.1726768242530267,0.49002239052283214,0.2073242935623757,0.5044379621948064
SARS2-RBD_ACE2_deltaKd_6M0J,3,21872,0.6920064493880795,0.8858687788075357,0.6959936289832883,0.8864120169054981
Z-domain_ZSPA-1_LL1_fitness_1LP1,1,45476,0.0888279348170106,0.5038226456056283,0.3065592405334976,0.6626562095688073
Z-domain_ZSPA-1_LL2_fitness_1LP1,1,5583,0.4146675095873099,0.7489698819548101,0.325765962731702,0.7627052046420474
Z-domain_ZpA963_HL1_fitness_2M5A,1,2904,0.18504794397108024,0.6579888030111141,0.1355758603879809,0.6400432413665219
Z-domain_ZpA963_HL2_fitness_2M5A,1,600,0.30915275623412175,0.6557407407407407,0.3374851134999018,0.696141975308642
hYAP65_peptide_FunctioncalScore_1JMQ,2,18407,0.128317489114792,0.5832061446902463,0.1153027032730904,0.5810967608833181
