,mean_rho,rank
ProSST (K=4096),0.4862222222222223,1
ProSST (K=1024),0.4494444444444444,2
ProSST (K=128),0.4481111111111111,3
VenusREM,0.4444444444444444,4
ProSST (K=512),0.443,5
ProSST (K=2048),0.4324444444444444,6
ProSST (K=20),0.4218888888888889,7
AIDO Protein-RAG (16B),0.4088888888888889,8
S3F-MSA,0.40355555555555556,9
S2F-MSA,0.39411111111111113,10
RSALOR,0.3872222222222222,11
S3F,0.36566666666666664,12
ESM3 open (1.4B),0.36444444444444446,13
ESM-IF1,0.35977777777777775,14
PoET (200M),0.3512222222222222,15
S2F,0.3502222222222222,16
Protriever,0.3486666666666667,17
ESCOTT,0.3458888888888889,18
EVE (ensemble),0.33722222222222226,19
TranceptEVE S,0.33666666666666667,20
SiteRM,0.33544444444444443,21
VESPA,0.33511111111111114,22
MIF,0.33322222222222225,23
GEMME,0.3323333333333333,24
SaProt (650M),0.3308888888888889,25
VESPAl,0.32666666666666666,26
TranceptEVE M,0.32,27
ProtSSN (ensemble),0.32,28
EVE (single),0.31977777777777777,29
"ProtSSN (k=20, h=1280)",0.31877777777777777,30
"ProtSSN (k=30, h=1280)",0.31677777777777777,31
TranceptEVE L,0.3136666666666667,32
VespaG,0.3116666666666667,33
"ProtSSN (k=20, h=512)",0.309,34
Tranception S,0.30700000000000005,35
"ProtSSN (k=30, h=768)",0.3065555555555555,36
"ProtSSN (k=30, h=512)",0.3058888888888889,37
"ProtSSN (k=10, h=1280)",0.30544444444444446,38
Site-Independent,0.30522222222222223,39
[ours] complex_crystal,0.3012623909071783,40
SaProt (35M),0.29833333333333334,41
MIF-ST,0.2977777777777778,42
"ProtSSN (k=20, h=768)",0.29777777777777775,43
"ProtSSN (k=10, h=512)",0.2948888888888889,44
DeepSequence (ensemble),0.2867777777777778,45
"ProtSSN (k=10, h=768)",0.2833333333333334,46
Tranception M,0.2832222222222222,47
Tranception L,0.2787777777777778,48
MULAN,0.2773333333333333,49
DeepSequence (single),0.27322222222222226,50
ESM2 (15B),0.2683333333333333,51
EVmutation,0.2633333333333334,52
Progen2 XL,0.26188888888888884,53
ESM2 (650M),0.25500000000000006,54
MSA Transformer (ensemble),0.2511111111111111,55
ESM2 (3B),0.2466666666666667,56
xTrimoPGLM-3B-MLM,0.24644444444444444,57
Wavenet,0.24555555555555555,58
xTrimoPGLM-1B-CLM,0.24477777777777776,59
RITA XL,0.24399999999999997,60
ESM2 (150M),0.2418888888888889,61
Unirep evotuned,0.2386666666666667,62
Progen2 L,0.23766666666666664,63
ESM-C (300M),0.2372222222222222,64
Progen2 Base,0.2368888888888889,65
Progen3 1B,0.2328888888888889,66
ESM-1v (ensemble),0.23233333333333336,67
xTrimoPGLM-10B-MLM,0.22933333333333333,68
Progen2 M,0.22899999999999998,69
Progen3 3B,0.22722222222222221,70
Progen3 112m,0.22499999999999998,71
MSA Transformer (single),0.22044444444444444,72
[ours] monomer_crystal,0.2193285436411063,73
ESM-1b,0.21744444444444444,74
Progen3 219m,0.21322222222222223,75
xTrimoPGLM-1B-MLM,0.21233333333333335,76
ESM-C (600M),0.2116666666666667,77
RITA L,0.21166666666666664,78
Tranception L no retrieval,0.20933333333333334,79
Tranception S no retrieval,0.20600000000000002,80
Progen3 762m,0.20566666666666666,81
Progen3 339m,0.2038888888888889,82
CARP (640M),0.20333333333333334,83
ESM2 (35M),0.19522222222222224,84
xTrimoPGLM-100B-int4,0.19477777777777777,85
xTrimoPGLM-3B-CLM,0.19255555555555556,86
Tranception M no retrieval,0.1918888888888889,87
RITA S,0.19111111111111112,88
RITA M,0.1902222222222222,89
Progen2 S,0.1893333333333333,90
CARP (76M),0.1797777777777778,91
[ours] esmfold_complex,0.1787768728812946,92
ESM-1v (single),0.1778888888888889,93
CARP (38M),0.16744444444444445,94
ESM2 (8M),0.1651111111111111,95
[ours] esmfold_monomer,0.13624929363766858,96
ProteinMPNN,0.13277777777777777,97
ProtGPT2,0.126,98
Unirep,0.11855555555555555,99
xTrimoPGLM-7B-CLM,0.08755555555555555,100
CARP (600K),0.01588888888888889,101
