lam,step,l_div,l_anchor
0.03,0,-0.06386107951402664,0.6070271730422974
0.03,50,-0.4237513840198517,0.5121702551841736
0.03,100,-0.5913425087928772,1.263869285583496
0.03,150,-0.5664975643157959,1.106035828590393
0.03,200,-0.7264906764030457,1.480359435081482
0.03,250,-0.6714569926261902,1.8179519176483154
0.03,299,-0.8053003549575806,1.7785606384277344
0.1,0,-0.06540845334529877,0.6392960548400879
0.1,50,-0.3953714072704315,0.30854251980781555
0.1,100,-0.3925856947898865,0.4938504993915558
0.1,150,-0.5053524374961853,0.585110068321228
0.1,200,-0.5227105021476746,0.6399757266044617
0.1,250,-0.5381441712379456,1.0286900997161865
0.1,299,-0.6685861945152283,0.9144049882888794
0.3,0,-0.08395315706729889,0.59266197681427
0.3,50,-0.24745002388954163,0.3349294662475586
0.3,100,-0.22342436015605927,0.28294146060943604
0.3,150,-0.32344871759414673,0.3064885139465332
0.3,200,-0.42232030630111694,0.40222135186195374
0.3,250,-0.27771878242492676,0.6092833876609802
0.3,299,-0.5219777226448059,0.45413175225257874
1.0,0,-0.08586328476667404,0.6820934414863586
1.0,50,-0.16856129467487335,0.2670673727989197
1.0,100,-0.14702527225017548,0.3522443473339081
1.0,150,-0.20133912563323975,0.3843400478363037
1.0,200,-0.21262440085411072,0.5182769298553467
1.0,250,-0.04402460530400276,0.23098024725914001
1.0,299,-0.2962813377380371,0.2151089608669281
3.0,0,-0.10548603534698486,0.5769230127334595
3.0,50,-0.17762713134288788,0.3365934491157532
3.0,100,-0.1627766191959381,0.35010620951652527
3.0,150,-0.2004741132259369,0.32105880975723267
3.0,200,-0.16061916947364807,0.21837927401065826
3.0,250,0.006087452173233032,0.6410998702049255
3.0,299,-0.25006067752838135,0.16920611262321472
10.0,0,-0.07821357250213623,0.496663898229599
10.0,50,-0.1868152767419815,0.3478161692619324
10.0,100,-0.1631881445646286,0.32996395230293274
10.0,150,-0.171331986784935,0.32033243775367737
10.0,200,-0.16239599883556366,0.5541637539863586
10.0,250,0.03408532217144966,0.19734561443328857
10.0,299,-0.2072415053844452,0.2048969566822052
30.0,0,-0.053259167820215225,0.5641717314720154
30.0,50,-0.21545149385929108,0.22041764855384827
30.0,100,-0.1498442441225052,0.3129834234714508
30.0,150,-0.1976562887430191,0.24242907762527466
30.0,200,-0.16748030483722687,0.23096095025539398
30.0,250,-0.027460239827632904,0.27899056673049927
30.0,299,-0.23870979249477386,0.20556993782520294
0.03,0,0.1984316110610962,1.9576265811920166
0.03,50,-0.24331414699554443,1.0799765586853027
0.03,100,-0.5033688545227051,1.9917556047439575
0.03,150,-0.6486989855766296,3.286050319671631
0.03,200,-0.6853928565979004,2.655449628829956
0.03,250,-0.737399697303772,3.1265530586242676
0.03,299,-0.7653719186782837,2.910975694656372
0.1,0,0.20777177810668945,1.5163683891296387
0.1,50,-0.04493199661374092,0.7623347043991089
0.1,100,-0.1498797982931137,0.7149703502655029
0.1,150,-0.44231829047203064,1.5244287252426147
0.1,200,-0.4756612777709961,1.2330604791641235
0.1,250,-0.5783651471138,1.774794340133667
0.1,299,-0.6016914248466492,1.6973589658737183
0.3,0,0.2552706301212311,1.8351536989212036
0.3,50,-0.006483991630375385,0.5870457291603088
0.3,100,0.09962064027786255,0.4200429916381836
0.3,150,-0.14228001236915588,0.6009397506713867
0.3,200,-0.2459278404712677,0.6460164189338684
0.3,250,-0.19330184161663055,0.6564421057701111
0.3,299,-0.1980655938386917,0.7739468812942505
1.0,0,0.21792182326316833,1.605181097984314
1.0,50,0.07296495884656906,0.5067222118377686
1.0,100,0.1863691359758377,0.30452239513397217
