lam,step,l_div,l_anchor
0.001,0,0.1784069985151291,1.591949224472046
0.001,50,-0.41449064016342163,3.0883584022521973
0.001,100,-0.7189779281616211,4.018016338348389
0.001,150,-0.7522330284118652,4.5896430015563965
0.001,200,-0.7640312314033508,5.5591535568237305
0.001,250,-0.791693925857544,6.557714462280273
0.001,299,-0.8594040870666504,6.893187522888184
0.003,0,0.17290166020393372,1.440824270248413
0.003,50,-0.43780165910720825,1.3203195333480835
0.003,100,-0.6828303337097168,3.7951931953430176
0.003,150,-0.7324483394622803,5.140077590942383
0.003,200,-0.8095210194587708,5.5708699226379395
0.003,250,-0.7840595245361328,5.645082473754883
0.003,299,-0.8125567436218262,5.867799282073975
0.01,0,0.24451103806495667,1.5664796829223633
0.01,50,-0.47022634744644165,1.3393137454986572
0.01,100,-0.6982645392417908,3.1571667194366455
0.01,150,-0.7200464010238647,4.166790008544922
0.01,200,-0.7935923933982849,5.047290325164795
0.01,250,-0.7716463804244995,4.4342360496521
0.01,299,-0.8042497038841248,3.7887845039367676
0.03,0,0.21804951131343842,1.3552649021148682
0.03,50,-0.43264177441596985,1.3791006803512573
0.03,100,-0.6282132863998413,2.3918182849884033
0.03,150,-0.7259846329689026,2.601046323776245
0.03,200,-0.7599931955337524,3.3695068359375
0.03,250,-0.7427963614463806,3.0420124530792236
0.03,299,-0.803771436214447,2.809025764465332
0.1,0,0.21415159106254578,1.596840739250183
0.1,50,-0.2636978328227997,0.7278043627738953
0.1,100,-0.5072665214538574,1.7887250185012817
0.1,150,-0.577970027923584,1.5486187934875488
0.1,200,-0.630840539932251,1.8622854948043823
0.1,250,-0.6713626384735107,2.201542615890503
0.1,299,-0.6672658324241638,1.6548881530761719
0.3,0,0.07415227591991425,1.56756591796875
0.3,50,-0.1710054576396942,0.5272778868675232
0.3,100,-0.25805431604385376,0.7769832611083984
0.3,150,-0.5024794936180115,0.7837026119232178
0.3,200,-0.4084912836551666,0.9683961272239685
0.3,250,-0.4273037612438202,1.0391091108322144
0.3,299,-0.446575790643692,0.8775864839553833
1.0,0,0.17030873894691467,1.5314675569534302
1.0,50,-0.03557043895125389,0.32009822130203247
1.0,100,0.03467538207769394,0.3679848909378052
1.0,150,-0.08698872476816177,0.3209979236125946
1.0,200,-0.10883595794439316,0.33867427706718445
1.0,250,-0.022675592452287674,0.3570108711719513
1.0,299,-0.08444073796272278,0.42168256640434265
3.0,0,0.3561042547225952,1.533433198928833
3.0,50,0.013348783366382122,0.403582364320755
3.0,100,0.1691838800907135,0.2926228642463684
3.0,150,-0.02406853809952736,0.23443138599395752
3.0,200,0.09271641820669174,0.3078472912311554
3.0,250,0.09674388915300369,0.2761751115322113
3.0,299,0.054860081523656845,0.26183366775512695
0.001,0,-0.05218984931707382,0.6341981291770935
0.001,50,-0.533785879611969,4.524856090545654
0.001,100,-0.6642768383026123,3.190922498703003
0.001,150,-0.68748939037323,2.4983177185058594
0.001,200,-0.8015216588973999,3.0117876529693604
0.001,250,-0.7363843321800232,2.2776589393615723
0.001,299,-0.8615476489067078,2.6112630367279053
0.003,0,-0.04145035147666931,0.6633719801902771
0.003,50,-0.5663549900054932,0.9868801832199097
0.003,100,-0.6082730889320374,1.4658249616622925
0.003,150,-0.7561479806900024,1.7575960159301758
0.003,200,-0.7848537564277649,2.131075620651245
0.003,250,-0.7859437465667725,2.2454674243927
0.003,299,-0.8548287749290466,2.3135035037994385
0.01,0,-0.09444060176610947,0.5911462903022766
0.01,50,-0.48032739758491516,0.7104414701461792
0.01,100,-0.6577843427658081,1.3886878490447998
0.01,150,-0.6884669065475464,1.595910668373108
0.01,200,-0.8037353754043579,2.181121826171875
0.01,250,-0.7879212498664856,2.239830732345581
0.01,299,-0.82619309425354,2.1151249408721924
0.03,0,-0.07227414101362228,0.6926113367080688
0.03,50,-0.480426162481308,0.530493438243866
0.03,100,-0.6223044991493225,1.3199074268341064
0.03,150,-0.6985699534416199,1.3766452074050903
0.03,200,-0.7723761796951294,1.4428085088729858
0.03,250,-0.7012242674827576,1.451849341392517
0.03,299,-0.8251794576644897,1.7543236017227173
0.1,0,-0.09796454012393951,0.5301097631454468
0.1,50,-0.42102518677711487,0.4409794211387634
0.1,100,-0.5859063863754272,0.7964619398117065
0.1,150,-0.6390788555145264,0.8585413694381714
0.1,200,-0.7078156471252441,1.0814162492752075
0.1,250,-0.614262044429779,1.0139846801757812
0.1,299,-0.7733556032180786,1.1601932048797607
0.3,0,-0.07617582380771637,0.5663473010063171
0.3,50,-0.3162357807159424,0.27309122681617737
0.3,100,-0.45480525493621826,0.46558842062950134
0.3,150,-0.4703027904033661,0.43033331632614136
0.3,200,-0.5792737007141113,0.5045942664146423
0.3,250,-0.45490649342536926,0.46950820088386536
0.3,299,-0.6463984251022339,0.5078805685043335
1.0,0,-0.09888815879821777,0.5602443218231201
1.0,50,-0.2652447521686554,0.23469603061676025
1.0,100,-0.23028600215911865,0.24814830720424652
1.0,150,-0.29430073499679565,0.24249930679798126
1.0,200,-0.35838085412979126,0.23450949788093567
1.0,250,-0.26702168583869934,0.2362513244152069
1.0,299,-0.42830392718315125,0.2718510031700134
3.0,0,-0.07064396142959595,0.6116405725479126
3.0,50,-0.25582215189933777,0.27719441056251526
3.0,100,-0.1140260249376297,0.21004819869995117
3.0,150,-0.21724428236484528,0.18046824634075165
3.0,200,-0.17800317704677582,0.15287967026233673
3.0,250,-0.12242487072944641,0.17775489389896393
3.0,299,-0.2617650330066681,0.1780976802110672
