lam,step,l_div,l_anchor
0.001,0,-0.08356228470802307,1.559507131576538
0.001,50,0.09839450567960739,0.5134265422821045
0.001,100,-0.08960125595331192,0.4590727388858795
0.001,150,-0.0730762630701065,0.5627857446670532
0.001,200,0.01711856760084629,0.7655143737792969
0.001,250,-0.1617894470691681,0.5385600924491882
0.001,299,-0.2148371934890747,0.6264492273330688
0.003,0,-0.1599142998456955,1.4163786172866821
0.003,50,0.17605148255825043,0.5904932022094727
0.003,100,0.007407690864056349,0.49111923575401306
0.003,150,-0.08336473256349564,0.43873658776283264
0.003,200,0.007586479652673006,0.6291378140449524
0.003,250,-0.04860133305191994,0.5987359881401062
0.003,299,-0.18266934156417847,0.7245253920555115
0.01,0,-0.11336005479097366,1.5524437427520752
0.01,50,0.07899805903434753,0.4037218391895294
0.01,100,-0.0477488674223423,0.44365617632865906
0.01,150,-0.09229473024606705,0.5819059610366821
0.01,200,-0.11044813692569733,0.4801618754863739
0.01,250,-0.08323737978935242,0.6403541564941406
0.01,299,-0.09277530759572983,0.585277259349823
0.03,0,-0.10523770749568939,1.3204976320266724
0.03,50,0.050056248903274536,0.41323336958885193
0.03,100,-0.056660495698451996,0.3370544910430908
0.03,150,-0.0754864513874054,0.36032140254974365
0.03,200,0.06573393195867538,0.46771252155303955
0.03,250,-0.06260978430509567,0.36648470163345337
0.03,299,-0.20468181371688843,0.3457658588886261
0.1,0,-0.07965824753046036,1.645377516746521
0.1,50,0.09888841211795807,0.4428827464580536
0.1,100,-0.04615585133433342,0.5100525617599487
0.1,150,-0.03904770314693451,0.36680519580841064
0.1,200,-0.06626494973897934,0.30614352226257324
0.1,250,-0.190336212515831,0.33944398164749146
0.1,299,-0.22578218579292297,0.26712822914123535
0.3,0,-0.18602538108825684,1.506963849067688
0.3,50,0.027043266221880913,0.3006746470928192
0.3,100,-0.1289180964231491,0.327059268951416
0.3,150,-0.241373211145401,0.2672453224658966
0.3,200,-0.0132853789255023,0.3778991997241974
0.3,250,-0.13975360989570618,0.2869201600551605
0.3,299,-0.22157710790634155,0.270733118057251
1.0,0,-0.1273455023765564,1.5147123336791992
1.0,50,0.10233233869075775,0.34894871711730957
1.0,100,-0.04671819880604744,0.33330562710762024
1.0,150,-0.0706300362944603,0.2970390319824219
1.0,200,-0.05224497616291046,0.24726422131061554
1.0,250,-0.08232951164245605,0.26682940125465393
1.0,299,-0.20996327698230743,0.2011794000864029
3.0,0,0.03788057714700699,1.529249668121338
3.0,50,0.03218063712120056,0.39148664474487305
3.0,100,-0.038162149488925934,0.2961414158344269
3.0,150,-0.12094523012638092,0.22513671219348907
3.0,200,-0.018592169508337975,0.2563527226448059
3.0,250,-0.10033034533262253,0.28913313150405884
3.0,299,-0.2483428716659546,0.2602260708808899
0.001,0,0.258095383644104,0.6386755704879761
0.001,50,-0.14954745769500732,0.5337238311767578
0.001,100,-0.14653579890727997,1.3216744661331177
0.001,150,0.07824986428022385,1.3091144561767578
0.001,200,-0.20636136829853058,1.6086913347244263
0.001,250,-0.1050252914428711,1.5846142768859863
0.001,299,-0.2673098146915436,1.452871561050415
0.003,0,0.24061761796474457,0.6460857391357422
0.003,50,-0.2005389779806137,0.36952146887779236
0.003,100,-0.037828780710697174,0.59379643201828
0.003,150,-0.08802304416894913,0.8653160333633423
0.003,200,-0.17028655111789703,0.9197349548339844
0.003,250,-0.2462642341852188,1.3039509057998657
0.003,299,-0.33581018447875977,1.261824369430542
0.01,0,0.2295042723417282,0.601379930973053
0.01,50,-0.1107562929391861,0.4742574095726013
0.01,100,-0.07583087682723999,0.5516683459281921
0.01,150,0.023315567523241043,0.5807459950447083
0.01,200,-0.2260834276676178,0.7958811521530151
0.01,250,-0.09962797909975052,0.9378610849380493
0.01,299,-0.27542075514793396,1.2149455547332764
0.03,0,0.22677363455295563,0.6918951869010925
0.03,50,-0.13118265569210052,0.31103911995887756
0.03,100,-0.12976379692554474,0.4684707522392273
0.03,150,0.03232090175151825,0.5409661531448364
0.03,200,-0.1302778124809265,0.6409099698066711
0.03,250,-0.12498701363801956,0.8399603962898254
0.03,299,-0.27133607864379883,0.7660719156265259
0.1,0,0.20360010862350464,0.5516862869262695
0.1,50,-0.17035765945911407,0.34121185541152954
0.1,100,-0.09168709069490433,0.259449303150177
0.1,150,0.0978173017501831,0.27038928866386414
0.1,200,-0.09953153878450394,0.4389999806880951
0.1,250,-0.11674539744853973,0.5071614384651184
0.1,299,-0.21941117942333221,0.5511823296546936
0.3,0,0.19980747997760773,0.5318034887313843
0.3,50,-0.08253628760576248,0.2550700604915619
0.3,100,-0.13208360970020294,0.25651878118515015
0.3,150,0.11736910790205002,0.21642926335334778
0.3,200,-0.05150674283504486,0.2525813579559326
0.3,250,-0.07452293485403061,0.20173896849155426
0.3,299,-0.2280687391757965,0.29167693853378296
1.0,0,0.20940788090229034,0.5863458514213562
1.0,50,-0.11236759275197983,0.21699722111225128
1.0,100,-0.04175003245472908,0.2350774109363556
1.0,150,0.11311620473861694,0.2003823220729828
1.0,200,-0.03392481058835983,0.17983432114124298
1.0,250,-0.12893033027648926,0.16243824362754822
1.0,299,-0.16771909594535828,0.14971815049648285
3.0,0,0.25910142064094543,0.6070078611373901
3.0,50,-0.1607934683561325,0.26693466305732727
3.0,100,-0.03285980224609375,0.21411462128162384
3.0,150,0.12069015204906464,0.17712396383285522
3.0,200,0.06930338591337204,0.14855311810970306
3.0,250,-0.06662162393331528,0.14564073085784912
3.0,299,-0.14016838371753693,0.1678803265094757
