lam,step,l_div,l_anchor
0.001,0,0.052621759474277496,2.0490705966949463
0.001,50,-0.47734174132347107,3.004004716873169
0.001,100,-0.5834510326385498,2.123106002807617
0.001,150,-0.6995571255683899,1.7873128652572632
0.001,200,-0.7872964143753052,3.514017343521118
0.001,250,-0.823043167591095,4.362458229064941
0.001,300,-0.8336594700813293,3.0511667728424072
0.001,350,-0.8452901244163513,2.5446298122406006
0.001,400,-0.8835539221763611,4.497012138366699
0.001,450,-0.9101967811584473,3.4604287147521973
0.001,500,-0.9113385081291199,4.3497819900512695
0.001,550,-0.9004391431808472,4.0457682609558105
0.001,600,-0.9346605539321899,4.949471473693848
0.001,650,-0.9293145537376404,3.5955772399902344
0.001,700,-0.9217368364334106,4.538602352142334
0.001,750,-0.9138039946556091,4.4015936851501465
0.001,800,-0.9384733438491821,4.135280132293701
0.001,850,-0.9388324618339539,4.741281032562256
0.001,900,-0.9361798167228699,4.467257499694824
0.001,950,-0.9481500387191772,4.594381332397461
0.001,1000,-0.9490446448326111,4.821203708648682
0.001,1050,-0.9333029985427856,4.1548848152160645
0.001,1100,-0.9563266634941101,5.225714683532715
0.001,1150,-0.9449759721755981,4.458582878112793
0.001,1200,-0.9523254632949829,4.7532429695129395
0.001,1250,-0.9516066908836365,4.284379959106445
0.001,1300,-0.9605745077133179,4.483097076416016
0.001,1350,-0.9604025483131409,4.482612609863281
0.001,1400,-0.9641501903533936,4.303508758544922
0.001,1450,-0.9638251662254333,4.991221904754639
0.001,1500,-0.9598297476768494,4.176123142242432
0.001,1550,-0.9648573398590088,5.0847554206848145
0.001,1600,-0.9655368328094482,5.0468974113464355
0.001,1650,-0.9555639028549194,4.168066501617432
0.001,1700,-0.9676430225372314,5.170836448669434
0.001,1750,-0.9616584181785583,5.45460844039917
0.001,1800,-0.9634497761726379,4.2091498374938965
0.001,1850,-0.9605965614318848,5.313173770904541
0.001,1900,-0.96602463722229,5.13532829284668
0.001,1950,-0.9673700332641602,5.244887828826904
0.001,2000,-0.9665793776512146,4.647951602935791
0.001,2050,-0.959930419921875,4.91642951965332
0.001,2100,-0.970959484577179,4.646311283111572
0.001,2150,-0.9638684988021851,5.477190971374512
0.001,2200,-0.9786824584007263,6.037716388702393
0.001,2250,-0.9644931554794312,4.704982280731201
0.001,2300,-0.9624788165092468,5.006066799163818
0.001,2350,-0.9730085134506226,6.521416664123535
0.001,2400,-0.9735372066497803,5.97468376159668
0.001,2450,-0.968848466873169,4.857875347137451
0.001,2500,-0.9725855588912964,4.5169148445129395
0.001,2550,-0.97040855884552,5.465751647949219
0.001,2600,-0.9649055004119873,5.328756332397461
0.001,2650,-0.9697644114494324,5.408583641052246
0.001,2700,-0.9721757769584656,6.009644031524658
0.001,2750,-0.9742524027824402,6.072233200073242
0.001,2800,-0.9763192534446716,5.419388294219971
0.001,2850,-0.9717727303504944,5.093444347381592
0.001,2900,-0.9587730765342712,4.343729496002197
0.001,2950,-0.9691712260246277,5.654445171356201
0.001,2999,-0.9710678458213806,5.63965368270874
0.003,0,0.011112733744084835,1.814268708229065
0.003,50,-0.4605925381183624,1.1629496812820435
0.003,100,-0.6308687925338745,1.9618419408798218
0.003,150,-0.7146299481391907,1.6210488080978394
0.003,200,-0.7752618193626404,2.5452187061309814
0.003,250,-0.8431355953216553,2.485088586807251
0.003,300,-0.8223711252212524,2.3817241191864014
0.003,350,-0.8723750710487366,2.856552839279175
0.003,400,-0.9109522700309753,4.007104873657227
0.003,450,-0.8974185585975647,2.8595497608184814
0.003,500,-0.9034673571586609,3.231325387954712
0.003,550,-0.9125030636787415,3.964200496673584
0.003,600,-0.925611138343811,4.166746616363525
0.003,650,-0.9108486175537109,3.012448787689209
0.003,700,-0.9242218136787415,3.8809452056884766
0.003,750,-0.910468578338623,4.244011878967285
0.003,800,-0.9327046275138855,3.4127116203308105
0.003,850,-0.9531253576278687,4.279815673828125
0.003,900,-0.9291196465492249,4.34923791885376
0.003,950,-0.9275431632995605,3.8252763748168945
0.003,1000,-0.9511844515800476,4.337700366973877
0.003,1050,-0.9364000558853149,3.638871431350708
0.003,1100,-0.9488113522529602,4.0549726486206055
0.003,1150,-0.9463011026382446,3.707073450088501
0.003,1200,-0.9526657462120056,3.6384057998657227
0.003,1250,-0.9474760293960571,3.481959581375122
0.003,1300,-0.9546394348144531,3.8425071239471436
