DMS_id,n,frac_iface,auc_in,auc_loao,rhow_in,rhow_loao,rho_in,rho_loao,n_levels,occ,rhog_in,rhog_loao,acc1_in,acc1_loao
5A12_Ang2_fitness_4ZFG,648,0.05555555555555555,0.8747276688453158,0.8786764705882353,0.45822689385335263,0.10049912657837885,0.5855269885610846,0.06504375564649097,5,36/41/66/145/360,0.459028135450154,0.16251299744283976,0.8564814814814815,0.7515432098765432
ACE2_SARS2-RBD_enrich_6M17,931,0.04618689581095596,0.9505028284098052,0.9700659962287869,0.47351791372670526,0.3217960915295831,0.6011085099286949,0.3734452664207321,5,43/49/68/129/642,0.5428417067142653,0.41513423678846034,0.9022556390977443,0.8259935553168636
CD19_FMC63_Fitness_7URV,445,0.09213483146067415,0.9113740642356919,0.8856556387346052,0.553644789026557,0.20445174625119297,0.6360278116858558,0.2036491875412351,5,41/35/59/140/170,0.5830737134942563,0.1883330327113406,0.8674157303370786,0.8224719101123595
CXCR4_CXCL12_enrich_8U4O,360,0.16944444444444445,0.8197817862821427,0.8508690169417182,0.5374905196260312,0.4047923512712417,0.5572786286406184,0.42290709185059544,5,61/55/76/57/111,0.5645796184681036,0.4547912525030061,0.7833333333333333,0.6555555555555556
GB1_IgG-Fc_fitness_1FCC,262,0.13740458015267176,0.9462881022615535,0.9396509341199607,0.5651471929837355,0.4680816778895796,0.4321246169817862,0.4562938284856654,5,36/34/40/79/73,0.47282768428176575,0.5087387476872292,0.816793893129771,0.8282442748091603
HLA-A2_TAPBPR_meanscore_5WER,582,0.12371134020618557,0.8909041394335513,0.8967592592592593,0.6390165059051761,0.46564360003557503,0.6765196255675121,0.4487513437375084,5,72/79/113/232/86,0.6046305978016905,0.3623410068863505,0.8625429553264605,0.8298969072164949
KRAS_PICK3CG-RBD_norfitness_1HE8,915,0.03825136612021858,0.9184740259740259,0.9456493506493506,0.26173820994033037,0.16553937822673775,0.38957313061488497,0.14355551585979265,5,35/41/66/155/618,0.44669789107432895,0.2813722057587581,0.9049180327868852,0.8994535519125683
KRAS_RAF1-RBD_norfitness_6VJJ,245,0.12653061224489795,0.8289116671691287,0.9678926741031052,0.38108395142047424,0.6033394030221858,0.29301213352901234,0.4446055593344273,5,31/33/41/91/49,0.3878388049603279,0.5766163762809406,0.7877551020408163,0.8367346938775511
KRAS_RAF1_norfitness_6VJJ,245,0.12653061224489795,0.8289116671691287,0.9678926741031052,0.38108395142047424,0.6033394030221858,0.29301213352901234,0.4446055593344273,5,31/33/41/91/49,0.3878388049603279,0.5766163762809406,0.7877551020408163,0.8367346938775511
KRAS_RALGDS-RBD_norfitness_1LFD,254,0.11023622047244094,0.8440265486725664,0.9576485461441213,0.5274883322173183,0.5830484544597385,0.4890899614321378,0.3573368766757665,5,28/28/48/99/51,0.3756796238057184,0.5469781279841887,0.7952755905511811,0.8582677165354331
PSD95_CRIPT_1BE9,120,0.16666666666666666,0.713,0.8195000000000001,0.27212542647586346,0.34956203176912526,0.3311161462391788,0.4412636404051996,5,20/21/38/33/8,0.5575207090755925,0.4672716093866506,0.8666666666666667,0.6916666666666667
PSD95_Tm2F_1BE9,120,0.175,0.6921596921596922,0.823953823953824,0.29565105668507063,0.33407413067081554,0.32603532215052644,0.4525206786738666,5,21/19/37/33/10,0.45869104218201007,0.4573229163622546,0.8083333333333333,0.7
SARS2-RBD_ACE2_deltaKd_6M0J,791,0.05436156763590392,0.8852132819301083,0.9484827757741575,0.24849737333453367,0.27327506889379616,0.24743862936208727,0.17411036201155225,5,43/56/66/130/496,0.2951680906097395,0.3264587620487857,0.8166877370417194,0.8798988621997471
hYAP65_peptide_FunctioncalScore_1JMQ,56,0.3392857142857143,0.6884779516358465,0.8236130867709816,0.35948527825494614,0.6784011492757583,0.37479706801138424,0.625185844251709,5,19/12/8/15/2,0.5655989400961561,0.7178387601157695,0.8035714285714286,0.6785714285714286
