DMS_id,n,now,target,now_sp,target_sp,gap
KRAS_RAF1-RBD_norfitness_6VJJ,23161,0.13682748813736154,-0.3592724444555059,0.11572091776810448,-0.35755058823897895,-0.49609993259286744
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,0.13909929818542124,-0.2631168696490147,0.12326502584555683,-0.2880749008182508,-0.4022161678344359
KRAS_RAF1_norfitness_6VJJ,12676,0.04901879127800694,-0.3440080548464618,0.01722495851803449,-0.3585182636566014,-0.39302684612446875
PSD95_CRIPT_1BE9,1576,-0.07955792991464251,-0.4616460003417294,-0.08375071948552196,-0.48629296113198794,-0.3820880704270869
KRAS_RALGDS-RBD_norfitness_1LFD,20340,-0.060485516732914885,-0.3797184388222142,-0.045133720707505175,-0.3891115853004414,-0.3192329220892993
GB1_IgG-Fc_fitness_1FCC,92890,0.040244718091800365,-0.24972493719709335,0.054134296881565416,-0.19670299648548684,-0.28996965528889374
PSD95_Tm2F_1BE9,1576,-0.010053540941116835,-0.22298977582824417,-0.03513762003760003,-0.1983353975789595,-0.21293623488712735
ACE2_SARS2-RBD_enrich_6M17,2185,-0.21918723990433445,-0.38629866233816174,-0.27214757673262363,-0.4005618209385973,-0.1671114224338273
CXCR4_CXCL12_enrich_8U4O,5584,-0.018554706605269738,-0.1501262816061292,-0.08807733079279602,-0.1653797397218195,-0.13157157500085948
HLA-A2_TAPBPR_meanscore_5WER,3344,-0.06796291470881581,-0.1831197478913023,-0.11753891420999815,-0.18110879209757927,-0.1151568331824865
SARS2-RBD_ACE2_deltaKd_6M0J,21871,-0.22997174474954324,-0.3259285016919893,-0.2730880287378953,-0.4109941587389726,-0.09595675694244604
CD19_FMC63_Fitness_7URV,3885,-0.17586992505725488,-0.26272122984005547,-0.018813895710770707,0.03977981647617474,-0.08685130478280059
hYAP65_peptide_FunctioncalScore_1JMQ,18406,0.03859227175067187,0.022161214794573524,0.09313342566718545,0.028392239125266287,-0.016431056956098346
5A12_Ang2_fitness_4ZFG,943,-0.024363007630181163,0.009639298612515768,0.18539251377404542,0.08915927883523196,0.03400230624269693
