config,oracle,loao,cstar_med,gain_loao,gain_oracle
sum|exp_tau5,0.48499245698030047,0.4598612468053395,-0.7249999999999999,0.06953034617912779,0.09466155635408874
sum|exp_tau3,0.47370704283894066,0.45822497054334604,-0.6249999999999998,0.06789406991713431,0.08337614221272893
mean|exp_tau8,0.48228579244380754,0.4571609919132524,-0.6749999999999998,0.06683009128704065,0.09195489181759581
mean|exp_tau12,0.4833109449306586,0.45656812061522756,-0.6999999999999997,0.06623721998901583,0.0929800443044469
mean|inv_tau5,0.48207236693770217,0.45640560626835863,-0.6749999999999998,0.0660747056421469,0.09174146631149044
mean|inv_tau3,0.48115314384031516,0.4561793541263744,-0.6749999999999998,0.06584845350016266,0.09082224321410343
mean|inv_tau8,0.48285071967004045,0.45612806048263466,-0.6999999999999997,0.06579715985642293,0.09251981904382872
mean|inv_tau2,0.4804222526671228,0.4555519497344051,-0.6749999999999998,0.06522104910819337,0.09009135204091107
mean|inv_tau12,0.48329310287511734,0.45551261169172946,-0.6999999999999997,0.06518171106551773,0.09296220224890561
mean|exp_tau5,0.4786990744251519,0.4554193583310992,-0.6749999999999998,0.06508845770488747,0.08836817379894019
mean|neglogd,0.483248338177809,0.4551610669042954,-0.6999999999999997,0.06483016627808369,0.09291743755159726
max|exp_tau5,0.46891504405578266,0.455130802176627,-0.5749999999999997,0.06479990155041526,0.07858414342957093
mean|inv_tau1,0.4794088379739582,0.4546172344955694,-0.6749999999999998,0.06428633386935767,0.0890779373477465
mean|inv_tau20,0.48334645591547093,0.45407449898382446,-0.6999999999999997,0.06374359835761273,0.0930155552892592
max|exp_tau8,0.4708588854031289,0.4536690764589997,-0.6499999999999999,0.06333817583278795,0.0805279847769172
mean|exp_tau20,0.48343311133746,0.4536319815410175,-0.6999999999999997,0.0633010809148058,0.09310221071124825
max|inv_tau3,0.46956998300859826,0.45255905982221634,-0.5749999999999997,0.06222815919600461,0.07923908238238653
max|inv_tau2,0.46902863634946074,0.4522962980695276,-0.5749999999999997,0.06196539744331586,0.07869773572324901
max|inv_tau5,0.47025364905082906,0.45226757706206266,-0.5999999999999999,0.061936676435850935,0.07992274842461733
max|inv_tau1,0.4682532668875326,0.4522443905779698,-0.5499999999999998,0.06191348995175805,0.07792236626132087
max|inv_tau8,0.47077870332003935,0.4512743250028621,-0.6499999999999999,0.060943424376650346,0.08044780269382762
sum|exp_tau2,0.4635151690519865,0.4506845644241215,-0.5499999999999998,0.060353663797909796,0.07318426842577475
max|exp_tau3,0.46441985818382286,0.45063040973130747,-0.5499999999999998,0.06029950910509574,0.07408895755761113
max|exp_tau12,0.4712616440816361,0.4505298979385431,-0.6749999999999998,0.06019899731233136,0.08093074345542439
max|inv_tau12,0.47108467613722566,0.44964823256016373,-0.6499999999999999,0.059317331933952,0.08075377551101393
sum|lin_negd,0.5032349875044415,0.44943728393585475,-0.6499999999999997,0.05910638330964302,0.11290408687822978
max|neglogd,0.47077287031390475,0.4492022129004947,-0.6249999999999998,0.058871312274282994,0.08044196968769302
mean|exp_tau3,0.47198420268756486,0.44784153523326337,-0.7,0.057510634607051636,0.08165330206135313
sum|exp_tau8,0.4928513337343604,0.4468703660835699,-0.7249999999999999,0.05653946545735816,0.10252043310814868
max|inv_tau20,0.47107557763832114,0.44631896483731825,-0.6999999999999997,0.055988064211106525,0.08074467701210941
max|exp_tau20,0.4709969831559341,0.44539097617469015,-0.6749999999999998,0.055060075548478415,0.08066608252972235
mean|lin_negd,0.48209307747824637,0.4447361036319416,-0.7249999999999999,0.054405203005729874,0.09176217685203464
max|exp_tau2,0.4589745948479137,0.44432183990747554,-0.5249999999999999,0.053990939281263806,0.06864369422170197
mean|exp_tau2,0.4649861476411451,0.44177187271513907,-0.6499999999999997,0.05144097208892734,0.07465524701493337
sum|neglogd,0.4977130676420268,0.44052284777179407,-0.4999999999999998,0.05019194714558234,0.10738216701581504
sum|bin_th8,0.4708654675628651,0.4395811094004206,-0.5749999999999997,0.04925020877420888,0.0805345669366534
sum|exp_tau1,0.4499729216708977,0.4393248872920509,-0.5,0.04899398666583915,0.05964202104468597
sum|bin_th5,0.4427203815596705,0.4365445428864981,-0.5249999999999999,0.04621364226028635,0.05238948093345874
max|bin_th8,0.4550447333831685,0.4363088369157733,-0.5249999999999999,0.045977936289561594,0.06471383275695675
mean|bin_th8,0.451074491177962,0.43580554746855615,-0.47499999999999987,0.045474646842344424,0.06074359055175027
max|lin_negd,0.46951082467475985,0.4355143231479262,-0.6999999999999997,0.04518342252171448,0.07917992404854812
sum|bin_th4.5,0.4415458599463977,0.435154077355382,-0.5,0.044823176729170244,0.05121495932018599
max|exp_tau1,0.4483378095832368,0.4347121287518873,-0.44999999999999973,0.044381228125675576,0.058006908957025094
max|bin_th5,0.44015540187231317,0.43352334294211914,-0.47499999999999987,0.04319244231590741,0.04982450124610144
max|bin_th4.5,0.4392677146896064,0.43324622735567325,-0.4249999999999998,0.04291532672946152,0.048936814063394674
sum|bin_th6,0.44477185903052036,0.43274550761157815,-0.5,0.04241460698536642,0.054440958404308626
mean|exp_tau1,0.4532655767966021,0.43256556824548503,-0.625,0.0422346676192733,0.06293467617039039
sum|bin_th4,0.4410356375852262,0.4321047729265758,-0.4249999999999998,0.04177387230036406,0.05070473695901445
max|bin_th4,0.43982293193827265,0.42985487151614016,-0.4249999999999998,0.03952397088992843,0.049492031312060925
max|bin_th6,0.4412040413516832,0.429014034284663,-0.5,0.038683133658451274,0.050873140725471444
sum|exp_tau12,0.4991011519732305,0.42860037204711415,-0.75,0.03826947142090242,0.10877025134701879
mean|bin_th5,0.4453705087151632,0.42822379413675066,-0.5499999999999998,0.03789289351053893,0.055039608088951475
sum|inv_tau1,0.49168013524650384,0.42800630041437415,-0.7249999999999999,0.03767539978816242,0.1013492346202921
mean|bin_th4.5,0.44435612512192824,0.42790573350181876,-0.5249999999999999,0.037574832875607034,0.054025224495716506
mean|bin_th6,0.44070204918969524,0.424825116811042,-0.47499999999999987,0.034494216184830284,0.050371148563483514
mean|bin_th4,0.440796341683731,0.42471017512015546,-0.44999999999999973,0.034379274493943734,0.05046544105751927
sum|inv_tau2,0.4952327339383191,0.42451524732750423,-0.7249999999999999,0.0341843467012925,0.1049018333121074
sum|inv_tau3,0.49791127929013684,0.42037521888476487,-0.7249999999999999,0.030044318258553138,0.10758037866392511
sum|inv_tau5,0.5012051825086518,0.4155995436000967,-0.75,0.02526864297388498,0.11087428188244003
sum|inv_tau8,0.5039788830007482,0.40633564565511,-0.7999999999999998,0.01600474502889826,0.1136479823745365
sum|exp_tau20,0.5046326931549395,0.4047262135633392,-0.8249999999999997,0.01439531293712748,0.1143017925287278
sum|inv_tau12,0.5058519172550225,0.3993930851183102,-0.8499999999999996,0.009062184492098446,0.11552101662881081
sum|inv_tau20,0.5074240047588419,0.3876481604583789,-1.025,-0.00268274016783282,0.11709310413263013
