DMS_id,chain,len_wt,n_struct_res,struct_cov,n_emp_pos,emp_agree,emp_missing_in_struct,emp_conflict,bad_rows
4D5_HER2_fitness_1N8Z,A,214,214,1.0,5,5,0,0,0
4D5_HER2_fitness_1N8Z,B,220,220,1.0,4,4,0,0,0
4D5_HER2_fitness_1N8Z,C,607,581,0.9572,0,0,0,0,0
5A12_Ang2_fitness_4ZFG,H,219,215,0.9817,5,5,0,0,0
5A12_Ang2_fitness_4ZFG,L,213,213,1.0,4,4,0,0,0
5A12_Ang2_fitness_4ZFG,A,220,220,1.0,0,0,0,0,0
5A12_VEGF_fitness_4ZFF,H,219,211,0.9635,5,5,0,0,0
5A12_VEGF_fitness_4ZFF,L,213,213,1.0,4,4,0,0,0
5A12_VEGF_fitness_4ZFF,C,96,96,1.0,0,0,0,0,0
Z-domain_ZpA963_HL1_fitness_2M5A,A,58,58,1.0,3,3,0,0,0
Z-domain_ZpA963_HL1_fitness_2M5A,B,58,58,1.0,3,3,0,0,0
Z-domain_ZpA963_HL2_fitness_2M5A,A,58,58,1.0,3,3,0,0,0
Z-domain_ZpA963_HL2_fitness_2M5A,B,58,58,1.0,3,3,0,0,0
Z-domain_ZSPA-1_LL1_fitness_1LP1,B,54,54,1.0,5,5,0,0,0
Z-domain_ZSPA-1_LL1_fitness_1LP1,A,55,55,1.0,4,4,0,0,0
Z-domain_ZSPA-1_LL2_fitness_1LP1,B,54,54,1.0,4,4,0,0,0
Z-domain_ZSPA-1_LL2_fitness_1LP1,A,55,55,1.0,4,4,0,0,0
CXCR4_CXCL12_enrich_8U4O,R,295,295,1.0,295,295,0,0,0
CXCR4_CXCL12_enrich_8U4O,J,65,65,1.0,0,0,0,0,0
hYAP65_peptide_FunctioncalScore_1JMQ,A,46,46,1.0,34,34,0,0,0
hYAP65_peptide_FunctioncalScore_1JMQ,P,10,10,1.0,0,0,0,0,0
GB1_IgG-Fc_fitness_1FCC,A,206,206,1.0,0,0,0,0,0
GB1_IgG-Fc_fitness_1FCC,C,56,56,1.0,55,55,0,0,0
GB1_IgG-Fc_fitness_1FCC_2016,A,206,206,1.0,0,0,0,0,0
GB1_IgG-Fc_fitness_1FCC_2016,C,56,56,1.0,4,4,0,0,0
SARS2-RBD_ACE2_deltaKd_6M0J,A,597,597,1.0,0,0,0,0,0
SARS2-RBD_ACE2_deltaKd_6M0J,E,194,194,1.0,194,194,0,0,0
KRAS_DARPinK27_norfitness_5O2S,A,165,165,1.0,163,163,0,0,0
KRAS_DARPinK27_norfitness_5O2S,B,156,156,1.0,0,0,0,0,0
KRAS_PICK3CG-RBD_norfitness_1HE8,B,166,166,1.0,164,164,0,0,0
KRAS_PICK3CG-RBD_norfitness_1HE8,A,941,749,0.796,0,0,0,0,0
KRAS_RAF1_norfitness_6VJJ,A,168,168,1.0,63,63,0,0,0
KRAS_RAF1_norfitness_6VJJ,B,77,77,1.0,0,0,0,0,0
KRAS_RAF1-RBD_norfitness_6VJJ,A,168,168,1.0,166,166,0,0,0
KRAS_RAF1-RBD_norfitness_6VJJ,B,77,77,1.0,0,0,0,0,0
KRAS_RALGDS-RBD_norfitness_1LFD,B,167,167,1.0,164,164,0,0,0
KRAS_RALGDS-RBD_norfitness_1LFD,A,87,87,1.0,0,0,0,0,0
KRAS_SOS1_norfitness_8BE4,S,475,440,0.9263,0,0,0,0,0
KRAS_SOS1_norfitness_8BE4,R,168,165,0.9821,163,163,0,0,0
BH3_Mcl-1_normed_3KZ0,A,150,143,0.9533,0,0,0,0,0
BH3_Mcl-1_normed_3KZ0,C,23,23,1.0,10,10,0,0,0
BH3_Bcl-xL_normed_1PQ1,A,196,147,0.75,0,0,0,0,0
BH3_Bcl-xL_normed_1PQ1,B,33,33,1.0,10,10,0,0,0
HLA-A2_TAPBPR_meanscore_5WER,A,274,265,0.9672,180,180,0,0,0
HLA-A2_TAPBPR_meanscore_5WER,C,370,317,0.8568,0,0,0,0,0
PSD95_CRIPT_1BE9,A,115,115,1.0,83,83,0,0,0
PSD95_CRIPT_1BE9,B,5,5,1.0,0,0,0,0,0
PSD95_Tm2F_1BE9,A,115,115,1.0,83,83,0,0,0
PSD95_Tm2F_1BE9,B,5,5,1.0,0,0,0,0,0
ACE2_SARS2-RBD_enrich_6M17,B,748,748,1.0,115,115,0,0,0
ACE2_SARS2-RBD_enrich_6M17,E,183,183,1.0,0,0,0,0,0
CD19_FMC63_Fitness_7URV,C,255,218,0.8549,218,218,0,0,0
CD19_FMC63_Fitness_7URV,D,242,227,0.938,0,0,0,0,0
