DMS_id,pdb,n_var,mutated_chains,partner_chains,L_mutated,n_site_res,frac_site_res,n_lib_pos,n_lib_pos_site,frac_lib_pos_site,n_iface_var,n_noniface_var,frac_no_iface,frac_no_iface_OTHERdef,frac_no_iface_dsasa,frac_no_iface_4.0A,frac_no_iface_4.5A,frac_no_iface_5.0A,frac_no_iface_6.0A,frac_no_iface_8.0A
4D5_HER2_fitness_1N8Z,1N8Z_hm.pdb,2079,AB,C,434,20,0.0461,9,4,0.4444,2076,3,0.0014,0.0005,0.0,0.0014,0.0014,0.0014,0.0,0.0
5A12_Ang2_fitness_4ZFG,4ZFG.pdb,943,HL,A,428,21,0.0491,9,4,0.4444,819,124,0.1315,0.1273,0.1315,0.1315,0.1315,0.1315,0.1315,0.0138
5A12_VEGF_fitness_4ZFF,4ZFF_CHL.pdb,29980,HL,C,424,11,0.0259,9,0,0.0,0,29980,1.0,0.0008,1.0,1.0,1.0,1.0,1.0,0.0905
Z-domain_ZpA963_HL1_fitness_2M5A,2M5A.pdb,2903,AB,(none: both sides mutated),116,37,0.319,6,6,1.0,2903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z-domain_ZpA963_HL2_fitness_2M5A,2M5A.pdb,599,AB,(none: both sides mutated),116,37,0.319,6,6,1.0,599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z-domain_ZSPA-1_LL1_fitness_1LP1,1LP1.pdb,45476,AB,(none: both sides mutated),109,36,0.3303,9,9,1.0,45476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z-domain_ZSPA-1_LL2_fitness_1LP1,1LP1.pdb,5583,AB,(none: both sides mutated),109,36,0.3303,8,8,1.0,5583,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR4_CXCL12_enrich_8U4O,8U4O_hm.pdb,5584,R,J,295,37,0.1254,295,37,0.1254,703,4881,0.8741,0.8741,0.8673,0.9081,0.8979,0.8741,0.8406,0.7321
hYAP65_peptide_FunctioncalScore_1JMQ,1JMQ_hm.pdb,18406,A,P,46,11,0.2391,34,11,0.3235,9692,8714,0.4734,0.4734,0.4734,0.533,0.4734,0.4734,0.3597,0.0877
GB1_IgG-Fc_fitness_1FCC,1FCC_hm.pdb,92890,C,A,56,18,0.3214,55,18,0.3273,58502,34388,0.3702,0.3702,0.3637,0.5137,0.3702,0.3702,0.3244,0.13
GB1_IgG-Fc_fitness_1FCC_2016,1FCC2016_hm.pdb,22175,C,A,56,18,0.3214,4,4,1.0,22175,0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0
SARS2-RBD_ACE2_deltaKd_6M0J,6M0J.pdb,21871,E,A,194,21,0.1082,194,21,0.1082,6763,15108,0.6908,0.6908,0.6539,0.7275,0.7128,0.6908,0.5844,0.4713
KRAS_DARPinK27_norfitness_5O2S,5O2S_hm.pdb,19532,A,B,165,26,0.1576,163,26,0.1595,8974,10558,0.5405,0.5405,0.5274,0.5779,0.5662,0.5405,0.5224,0.4083
KRAS_PICK3CG-RBD_norfitness_1HE8,1HE8_hm.pdb,19202,B,A,166,16,0.0964,164,16,0.0976,3903,15299,0.7967,0.7967,0.7763,0.8378,0.8115,0.7967,0.7414,0.5108
KRAS_RAF1_norfitness_6VJJ,6VJJ.pdb,12676,A,B,168,17,0.1012,63,15,0.2381,4939,7737,0.6104,0.6104,0.5668,0.6705,0.6231,0.6104,0.5338,0.2484
KRAS_RAF1-RBD_norfitness_6VJJ,6VJJ.pdb,23161,A,B,168,17,0.1012,166,17,0.1024,5953,17208,0.743,0.743,0.7181,0.7808,0.7509,0.743,0.7,0.5293
KRAS_RALGDS-RBD_norfitness_1LFD,1LFD_hm.pdb,20340,B,A,167,15,0.0898,164,15,0.0915,5534,14806,0.7279,0.7279,0.7014,0.8029,0.7791,0.7279,0.7014,0.4971
KRAS_SOS1_norfitness_8BE4,8BE4_hm.pdb,19424,R,S,165,35,0.2121,163,35,0.2147,9949,9475,0.4878,0.4878,0.3992,0.5338,0.4963,0.4878,0.3832,0.2452
BH3_Mcl-1_normed_3KZ0,3KZ0_hm.pdb,517,C,A,23,18,0.7826,10,10,1.0,517,0,0.0,0.0,0.0,0.0329,0.0,0.0,0.0,0.0
BH3_Bcl-xL_normed_1PQ1,1PQ1_hm.pdb,517,B,A,33,20,0.6061,10,10,1.0,517,0,0.0,0.0,0.0,0.0329,0.0329,0.0,0.0,0.0
HLA-A2_TAPBPR_meanscore_5WER,5WER_hm.pdb,3344,A,C,265,35,0.1321,180,22,0.1222,412,2932,0.8768,0.8768,0.8597,0.9151,0.8932,0.8768,0.8484,0.7596
PSD95_CRIPT_1BE9,1BE9_hm.pdb,1576,A,B,115,15,0.1304,83,15,0.1807,285,1291,0.8192,0.8192,0.8192,0.8553,0.8312,0.8192,0.7709,0.6022
PSD95_Tm2F_1BE9,1BE9Tm2F_hm.pdb,1576,A,B,115,16,0.1391,83,16,0.1928,304,1272,0.8071,0.8071,0.7951,0.8553,0.8312,0.8071,0.7589,0.6142
ACE2_SARS2-RBD_enrich_6M17,6M17_BE.pdb,2185,B,E,748,20,0.0267,115,20,0.1739,380,1805,0.8261,0.8261,0.8,0.8435,0.8348,0.8261,0.7826,0.6348
CD19_FMC63_Fitness_7URV,7URV_hm.pdb,3885,C,D,218,17,0.078,218,17,0.078,136,3749,0.965,0.965,0.9642,0.9722,0.9683,0.965,0.9627,0.9297
