id	n_chains	total_len	mean_plddt	ptm	iptm	sec	peak_gb
YAP1_HUMAN_Araya_2012	2	514	0.4200	0.1481	0.5505	14.72	16.50
B2L11_HUMAN_Dutta_2010_binding-Mcl-1	2	548	0.5785	0.3978	0.4633	12.18	16.88
CD19_HUMAN_Klesmith_2019_FMC_singles	2	798	0.6296	0.4711	0.5498	24.16	20.51
DLG4_RAT_McLaughlin_2012	2	825	0.6445	0.4048	0.1772	26.99	20.99
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR	2	833	0.6715	0.4748	0.2906	27.23	21.13
SPG1_STRSG_Olson_2014	2	847	0.6814	0.3825	0.4457	28.63	21.38
SPG1_STRSG_Wu_2016	2	847	0.6807	0.3812	0.4445	28.20	21.38
