DMS_id,n,n_mut_median,n_mut_max,frac_singles,delta_d5A,p_d5A,delta_dsasa,p_dsasa,n_singles,delta_singles,p_singles,spearman_score_vs_dist,L_mutated,n_lib_pos,n_site_res,frac_no_iface,lib_coverage
4D5_HER2_fitness_1N8Z,2079,7,9,0.0,,,,,0,,,0.09559886306139168,434,9,20,0.0014,0.021
5A12_Ang2_fitness_4ZFG,943,4,8,0.054,-0.03617708456418134,0.5158506610126137,-0.03617708456418134,0.5158506610126137,51,0.13148788927335642,0.4536758181898459,-0.08915927883523196,428,9,21,0.1315,0.021
5A12_VEGF_fitness_4ZFF,29980,6,9,0.002,,,,,54,,,0.14025492329813743,424,9,11,1.0,0.021
ACE2_SARS2-RBD_enrich_6M17,2185,1,1,1.0,-0.553961218836565,8.806811053874974e-65,-0.49837931810922187,1.4162896452701453e-58,2185,-0.553961218836565,8.806811053874974e-65,0.4005618209385974,748,115,20,0.8261,0.154
BH3_Bcl-xL_normed_1PQ1,517,3,5,0.329,,,,,170,,,0.6993940831555674,33,10,20,0.0,0.303
BH3_Mcl-1_normed_3KZ0,517,3,5,0.329,,,,,170,,,0.508604582493734,23,10,18,0.0,0.435
CD19_FMC63_Fitness_7URV,3885,2,3,0.416,-0.7004299185665197,6.660457564949359e-44,-0.6714999596692107,2.575692011873144e-41,1618,-0.309260141303485,2.2796065821825068e-09,-0.03977981647617474,218,218,17,0.965,1.0
CXCR4_CXCL12_enrich_8U4O,5584,1,1,1.0,-0.19286092937954613,1.2327427726133405e-16,-0.1944061061180724,1.3963830589236307e-17,5584,-0.19286092937954613,1.2327427726133405e-16,0.1653797397218195,295,295,37,0.8741,1.0
GB1_IgG-Fc_fitness_1FCC,92890,2,2,0.011,-0.2323467673173264,0.0,-0.21547088803576442,0.0,1045,-0.3938758703301639,4.50916735580094e-25,0.19670299648548684,56,55,18,0.3702,0.982
GB1_IgG-Fc_fitness_1FCC_2016,22175,4,4,0.001,,,-0.7220292600778866,0.0021927999175013063,26,,,0.12974925201996437,56,4,18,0.0,0.071
HLA-A2_TAPBPR_meanscore_5WER,3344,1,1,1.0,-0.21521311540550203,1.403545767318092e-12,-0.20618670622045054,7.492675314049287e-13,3344,-0.21521311540550203,1.403545767318092e-12,0.1811087920975793,265,180,35,0.8768,0.679
KRAS_DARPinK27_norfitness_5O2S,19532,2,2,0.128,-0.2535968023301345,1.5776949475538315e-205,-0.23851078317741603,1.0858308275452113e-182,2507,-0.19903751486010057,9.65080254232721e-12,0.27671688316987125,165,163,26,0.5405,0.988
KRAS_PICK3CG-RBD_norfitness_1HE8,19202,2,2,0.137,-0.20432486959027685,1.0882893063272266e-86,-0.2061118242377088,2.0686027694927737e-94,2639,-0.15691513279085623,1.1230101897549898e-05,0.2880749008182508,166,164,16,0.7967,0.988
KRAS_RAF1-RBD_norfitness_6VJJ,23161,2,2,0.122,-0.31215639626477454,3.999285632524982e-283,-0.2958269727300207,1.193059830245449e-269,2825,-0.08903623313840747,0.009593242517308167,0.3575505882389789,168,166,17,0.743,0.988
KRAS_RAF1_norfitness_6VJJ,12676,2,2,0.094,-0.31653689553067,4.686085627411543e-199,-0.282059907735401,1.4834873207335214e-163,1188,-0.05869335771206163,0.13667545926240568,0.3585182636566014,168,63,17,0.6104,0.375
KRAS_RALGDS-RBD_norfitness_1LFD,20340,2,2,0.125,-0.46695938718521257,0.0,-0.4168638315211508,0.0,2544,-0.4612355265232284,4.0336872809140686e-36,0.3891115853004414,167,164,15,0.7279,0.982
KRAS_SOS1_norfitness_8BE4,19424,2,2,0.129,-0.217296698651248,1.6230634696296054e-151,-0.1983516261281183,1.3708545148702505e-121,2503,-0.16106794919225553,2.8475011024239244e-09,0.1966450992037986,165,163,35,0.4878,0.988
PSD95_CRIPT_1BE9,1576,1,1,1.0,-0.5725549349749277,7.851571916842708e-52,-0.5725549349749277,7.851571916842708e-52,1576,-0.5725549349749277,7.851571916842708e-52,0.48629296113198794,115,83,15,0.8192,0.722
PSD95_Tm2F_1BE9,1576,1,1,1.0,-0.2535325637206223,6.14295805210839e-12,-0.24664273236492484,7.721943291263284e-12,1576,-0.2535325637206223,6.14295805210839e-12,0.1983353975789595,115,83,16,0.8071,0.722
SARS2-RBD_ACE2_deltaKd_6M0J,21871,2,10,0.143,-0.3394829248729958,0.0,-0.2698275064967143,5.128497074899513e-238,3134,-0.3358653338035049,2.606255973995163e-25,0.41099415873897255,194,194,21,0.6908,1.0
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,7,9,0.0,,,,,3,,,0.3743334774129872,109,9,36,0.0,0.083
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,6,8,0.001,,,,,3,,,-0.0166779685241593,109,8,36,0.0,0.073
Z-domain_ZpA963_HL1_fitness_2M5A,2903,4,6,0.008,,,,,24,,,0.525551633766046,116,6,37,0.0,0.052
Z-domain_ZpA963_HL2_fitness_2M5A,599,3,6,0.098,,,,,59,,,0.2862382929503871,116,6,37,0.0,0.052
hYAP65_peptide_FunctioncalScore_1JMQ,18406,3,21,0.016,-0.03009209945883362,0.00041468755687222814,-0.03009209945883362,0.00041468755687222814,288,-0.377604369879048,1.3349329677295451e-05,-0.028392239125266287,46,34,11,0.4734,0.739
